Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,District_LGD_Codes,State_Codes,Start_Year,Start_Month,Start_Day,High_Impact
4734,UEI-IMD-FL-2016-0132,2016-07-20,2016-07-20,1.0,heavy rains & landslides,Darjeeling,West Bengal,3.0,,,,3 persons died due to landslide.,,IMD,309.0,19.0,2016.0,7.0,20.0,0
4735,UEI-IMD-FL-2016-0133,2016-07-24,2016-07-25,2.0,flood,"North westdusar, Cooch Behar, Darjeeling, Jalpaiguri",West Bengal,4.0,,,,4 persons died.,58000 people affected.,IMD,,19.0,2016.0,7.0,24.0,0
4736,UEI-IMD-FL-2016-0134,2016-08-17,2016-08-17,1.0,heavy rains,Kolkata,West Bengal,3.0,15.0,,,"3 persons died,15 others injured.",Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,315.0,19.0,2016.0,8.0,17.0,0
4737,UEI-IMD-FL-2016-0135,2016-08-23,2016-08-29,7.0,heavy rains & flood in mahananda river,"Hooghly, Howrah",West Bengal,5.0,1.0,,,5 persons died & one person drowned in Mahananda river of Maldah Dist.,"i) Extensive damage to the crops reported ii) 5,550 families in 45 villages affected",IMD,,19.0,2016.0,8.0,23.0,0
4738,UEI-IMD-FL-2017-0001,2017-07-11,2017-07-11,1.0,landslide,Papum Pare,Andhra Pradesh,15.0,,,,15 persons died & several others injured.,Extensive damage to agricultural land & Property reported.,IMD,237.0,28.0,2017.0,7.0,11.0,1
4739,UEI-IMD-FL-2017-0002,2017-02-22,2017-02-22,1.0,heavy,"Dibrugarh, Tinsukia",Assam,3.0,24.0,,,3 persons died & more than 2 dozens injured,"i) Rabi crops extensively damaged. ii) About 280 villages extensively damaged. iii) Many houses damaged/collapsed. iv) Several trees, electric/telephone poles uprooted causing disruption in communication,power supply.",IMD,,18.0,2017.0,2.0,22.0,0
4740,UEI-IMD-FL-2017-0003,2017-03-31,2017-03-31,1.0,heavy rain,Cachar,Assam,1.0,,,,One woman washed away,i) Huge amount of standing crops damaged. ii) At least 20 houses submerged. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,282.0,18.0,2017.0,3.0,31.0,0
4742,UEI-IMD-FL-2017-0005,2017-06-13,2017-06-15,3.0,"flood (brahmaputra,tributaries)","Darrang, Dima Hasao, Hailakandi, Kamrup, Lakhimpur",Assam,3.0,,,,3 persons died.,i) 19760 population of 78 villages from 5 districts affected. ii) Crop land of area 713.49 hectares affected.,IMD,,18.0,2017.0,6.0,13.0,0
4743,UEI-IMD-FL-2017-0006,2017-06-18,2017-06-20,3.0,"flood (brahmaputra,tributaries)","Darrang, Karimganj, Lakhimpur, Nalbari",Assam,1.0,,,,One person died.,i) 56365 population of 165 villages from 4 districts affected. ii) Crop land of area 3369.67 hectares affected.,IMD,,18.0,2017.0,6.0,18.0,0
4745,UEI-IMD-FL-2017-0008,2017-01-07,2017-07-07,7.0,"flood (brahmaputra,tributaries)","Barpeta, Biswanath, Bongaigaon, Chirang, Dhemaji, Golaghat, Hailakandi, Jorhat, Karimganj, Kokrajhar, Kamrup, Lakhimpur, Mancachar, Nagaon, Nalbari, Sivasagar, Sonitpur",Assam,14.0,,,,Total 14 persons including one girl died due to landslide in Kamrup Dist. on 3rd Jul.,"i) About 4,25,764 population of 1037 villages in 17 districts affected. ii) Crop land of area 32148.59 hectares affected",IMD,,18.0,2017.0,1.0,7.0,1
4746,UEI-IMD-FL-2017-0009,2017-09-07,2017-07-13,5.0,"flood (brahmaputra,tributaries)","Barpeta, Biswanath, Bongaigaon, Cachar, Charaideo, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh,Golaghat, Goalpara, Hailakandi, Jorhat, Karimganj, Kamrup, Karbi Anglong, Kokrajhar, Lakhimpur, Majuli, Mancachar, Nagaon, Nalbari, Sivasagar, Sonitpur, South Salmara Mancachar",Assam,24.0,,,,24 persons died.,"i) 17,43,119 population of 2450 villages from 26 districts affected. ii) Crop land of area 86,223.19 hectares affected",IMD,,18.0,2017.0,9.0,7.0,1
4747,UEI-IMD-FL-2017-0010,2017-07-15,2017-07-24,10.0,"flood (brahmaputra,tributaries)","Barpeta, Biswanath, Cachar, Chirang, Dibrugarh, Golaghat, Goalpara, Hailakandi, Jorhat, Karbi Anglong, Karimganj, Lakhimpur, Nagaon, Sivasagar",Assam,27.0,,,,27 persons died.,"i) 1,65,979 population of 421 villages from 15 districts affected. ii) Crop land of area 21574.37 hectares affected",IMD,,18.0,2017.0,7.0,15.0,1
4748,UEI-IMD-FL-2017-0011,2017-10-08,2017-08-21,12.0,"flood (brahmaputra,tributaries)","Barpeta, Biswanath, Bongaigaon, Charaideo, Chirang, Darrang, Dhemaji, Dibrugarh, Dhubri, Goalpara, Golaghat, Jorhat, Kamrup, Kamrup Metro, Karbi Anglong, Kokrajhar, Lakhimpur, Majuli, Mancachar, Nagaon, Nalbari, Sivasagar, Sonitpur, South Salmara Mancachar",Assam,72.0,,,,72 persons died.,"i) Crop land of area 1,82,343.06 hectares affected. ii) 33,27,986 population from 3186 villages of Twenty Four districts affected.",IMD,,18.0,2017.0,10.0,8.0,1
4749,UEI-IMD-FL-2017-0012,2017-07-09,2017-11-09,5.0,"flood (brahmaputra,tributaries)","Cachar, Chirang, Dhemaji, Jorhat, Lakhimpur, Marigaon, Nagaon, Sonitpur,Udalguri",Assam,2.0,,,,2 persons died,i) Cropland of area 12266.09 hectares affected. ii) 49335 population from 200 villages of 9 districts affected.,IMD,,18.0,2017.0,7.0,9.0,0
4750,UEI-IMD-FL-2017-0013,2017-09-05,2017-09-05,1.0,heavy rain,"Araria, Aurangabad, Begusarai, Lakhisarai, Madhubani,Munger, Nalanda,Patna, Purnia, Supaul",Bihar,15.0,,,,15 persons died,i) Damage to standing crops reported. ii) Damage to property reported. iii) Several trees/electric poles uprooted.,IMD,,10.0,2017.0,9.0,5.0,1
4753,UEI-IMD-FL-2017-0016,2017-11-07,2017-07-13,3.0,"floods in koshi, bagmati, mahananda & gandak river due to heavy rain in nepal","Araria, Darbhanga, Purbi Champaran, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Purnia, Rohtas, Saran, Sitamarhi, Supaul, Vaishali, Pashchim Champaran",Bihar,4.0,,,,4 persons died in Rohtas district on 11thJul,"i) More than 60,000 people affected. ii) Several trees/electric poles uprooted",IMD,,10.0,2017.0,11.0,7.0,0
4754,UEI-IMD-FL-2017-0017,2017-08-13,2017-08-15,3.0,heavy rains & floods,"Araria, Purbi Champaran, Katihar, Kishanganj, Madhepura, Nalanda, Purnia, Pashchim Champaran",Bihar,74.0,,,,"Total 74 persons died. Araria-27, East Champaran-11, Katihar - 3, Kishanganj - 6, Madhepura - 5, Nalanda - 4, Purnia-5, Pashchim Champaran-13.",i) 4 Lakh hectares of crop land submerged. ii) 65.37 lakh people were affected. iii) 33 trains cancelled. iv) Several trees/electric poles uprooted,IMD,,10.0,2017.0,8.0,13.0,1
4755,UEI-IMD-FL-2017-0018,2017-08-25,2017-08-25,1.0,floods due to heavy rains in nepal,"Madhubani, Muzaffarpur, Samastipur, Sheohar",Bihar,12.0,,,,12 persons died,i) Large number of people affected. ii) Loss of few crores of fishes reported. iii) Several trees/electric poles uprooted,IMD,,10.0,2017.0,8.0,25.0,1
4756,UEI-IMD-FL-2017-0019,2017-11-07,2017-11-07,1.0,heavy rains,Surguja,Chhattisgarh,3.0,,,,3 persons died in Aagashi village in Lundra tehsil,Damage to many houses reported.,IMD,389.0,22.0,2017.0,11.0,7.0,0
4757,UEI-IMD-FL-2017-0020,2017-07-29,2017-07-29,1.0,heavy rains,"Balrampur, Bemetara, Dakshin Bastar Dantewada, Durg, Raigarh, Raipur, Rajnandgaon, Surguja",Chhattisgarh,24.0,,,42,"Total Twenty Four persons died. Balrampur - 3, Bametara - 3, Dantewada - 2, Durg - 5, Raigarh - 1, Raipur - 2, Rajnandgaon - 2, Surguja -6. 42 animals perished.",i) 45.82 hectare crop land flooded. ii) Damage to 661 houses reported. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,22.0,2017.0,7.0,29.0,1
4758,UEI-IMD-FL-2017-0021,2017-01-06,2017-09-30,122.0,heavy rains & floods,"Ahmedabad, Amreli, Anand, Arvalli, Bharuch, Banas Kantha, Devbhumi Dwarka Dwarka, Gandhinagar, Gir Somnath, Jamnagar, Junagadh, Kheda, Kachchh, Mahisagar, Mahesana, Morbi, Navsari, Panch Mahals, Patan, Rajkot, Surat, Surendranagar, Dangs, Valsad",Gujarat,288.0,25.0,,16543,"Total 288 persons died, 25 persons injured & 16543 animals perished.","i) 8,91,355 hectares of cropland affected. ii) 5,20,000 population from 875 villages affected. iii) 1,12,900 persons evacuated in 90 relief camps. iv) Damage to 5,460 houses fully & 33,728 houses partially reported. v) Extensive damage to roads reported.",IMD,,24.0,2017.0,1.0,6.0,1
4759,UEI-IMD-FL-2017-0022,2017-06-06,2017-06-06,1.0,heavy rains,"Bilaspur, Hamirpur, Shimla, Solan,Chamba",Himachal Pradesh,8.0,,,,8 persons including 4 children died due to door of a factory collapsed in Solan Dist.,i) Roofs of houses blown away. ii) Damage to 5 vehicles reported. iii) National Highways remained closed. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,2.0,2017.0,6.0,6.0,0
4760,UEI-IMD-FL-2017-0023,2017-06-21,2017-06-21,1.0,heavy rains,"Chamba, Solan",Himachal Pradesh,2.0,,,,"2 persons died, one in each district.",Damage to car due to debris reported,IMD,,2.0,2017.0,6.0,21.0,0
4762,UEI-IMD-FL-2017-0025,2017-12-07,2017-12-07,1.0,heavy rains,Mandi,Himachal Pradesh,1.0,,,,One woman washed away in Beas river,i) Many roads remained closed. ii) Disruption in power supply reported.,IMD,22.0,2.0,2017.0,12.0,7.0,0
4763,UEI-IMD-FL-2017-0026,2017-07-16,2017-07-16,1.0,cloud burst & heavy rains,"Chamba, Hamirpur, Kullu, Mandi, Shimla,",Himachal Pradesh,3.0,,,,3 persons washed away in Kullu Dist.,"i) Damage to many roads, Bridges reported. ii) A building collapsed in Chamba Dist. iii) A tractor washed away in Nadaun city of Hamirpur Dist.",IMD,,2.0,2017.0,7.0,16.0,0
4764,UEI-IMD-FL-2017-0027,2017-07-17,2017-07-18,2.0,heavy rains & landslide,"Chamba, Shimla, Una",Himachal Pradesh,2.0,,,,"2 persons died, one in Chamba Dist. & other in Una Dist.",i) Damage to bridge reported. ii) Railway track damaged,IMD,,2.0,2017.0,7.0,17.0,0
4765,UEI-IMD-FL-2017-0028,2017-05-08,2017-05-08,1.0,heavy rains & landslide,"Solan, Una",Himachal Pradesh,1.0,,,,One person washed away with his Nano car in Una Dist.,"i) Chandigarh-Shimla National highway remained closed due to landslide near Jabali, Kasulli taluk in Solan Dist.",IMD,,2.0,2017.0,5.0,8.0,0
4766,UEI-IMD-FL-2017-0029,2018-06-08,2017-07-08,2.0,heavy rains & landslide,"Chamba, Hamirpur, Kangra, Kullu, Shimla",Himachal Pradesh,3.0,,,,"Total 3 persons died. Kangra - 1, Kullu �������� 2.",i) Damage to more than 6 houses reported. ii) Several trees uprooted & roads damaged in many areas due to which vehicular traffic disrupted,IMD,,2.0,2018.0,6.0,8.0,0
4768,UEI-IMD-FL-2017-0031,2017-08-13,2017-08-14,2.0,heavy rains & massive landslide,Mandi,Himachal Pradesh,46.0,,,,46 persons buried.,"i) Two Himachal Pradesh roadways buses,some light vehicles were buried at Kotrupi on the Mandi-Pathankot National Highway near Jogindernagar. ii) Damage to many houses reported",IMD,22.0,2.0,2017.0,8.0,13.0,1
